"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
256487,"Sonoma County, CA, USA","California, USA","United States","38.7634597, -123.5167139",land,,2023-01-01,,1,,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256489,"Mendocino County, CA, USA","California, USA","United States","38.908798, -123.6930726",land,,2023-01-01,,1,,1,7.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256490,"Mendocino County, CA, USA","California, USA","United States","38.908798, -123.6930726",land,,2023-01-01,,1,,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256491,"Mendocino County, CA, USA","California, USA","United States","38.789633, -123.561122",land,,2023-01-01,,1,,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256492,"Sonoma County, CA, USA","California, USA","United States","38.3120615, -123.0520385",land,,2023-01-01,,1,,1,7.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256493,"Sonoma County, CA, USA","California, USA","United States","38.3818001, -123.0817291",land,,2023-01-01,,1,,1,7.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256494,"Sonoma County, CA, USA","California, USA","United States","38.3818001, -123.0817291",land,,2023-01-01,,1,,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256495,"Los Angeles County, CA, USA","California, USA","United States","34.129576239604, -118.41604724546",land,,2023-01-01,,1,,1,1.829,0,,3,,1,3,2,1,8,7,,1,1,,,,1,1,3,2,,,,,,,,,,,,,8,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,,,,50
256533,"San Mateo County, CA, USA","California, USA","United States","37.653410186497, -122.49299008177",land,,2023-01-01,"PBC Esplanade Beach",1,,1,4.494,0.18768779099232,,1,,,2,1,,,1,,,,4,,,5,3,3,,,,,1,,,5,,,,,,,1,,,1,,,,,,,1,,12,,,,,,,,,,,,,,,,,,41
256537,"San Mateo County, CA, USA","California, USA","United States","37.610960435506, -122.49605008967",land,,2023-01-01,"Pacific Beach Coalition - Terri Brown",1,,1,21.37,0.7843670882605,,,25,3,6,6,,2,5,,3,1,8,,2,8,6,5,,,,,,,,,,,1,3,,2,,,13,,,117,,1,,4,1,,15,,,,,,,,,,,,,,,,,,237
256539,"San Francisco County, San Francisco, CA, USA","California, USA","United States","37.7599566, -122.48990607",land,,2023-01-01,"pacific beach coalition",1,,1,5.059,0,,2,5,,6,7,2,,2,2,3,,2,5,5,9,6,4,5,,,,,,,,,3,,,,,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,76
256561,"San Mateo County, CA, USA","California, USA","United States","37.48293858025, -122.45214787323",land,,2023-01-01,"Rotary HMB",7,,7,31.7,1.2,,3,34,32,7,6,7,12,7,54,9,5,11,4,5,20,5,5,3,,3,,,,,7,4,4,,3,,,1,,,5,14,8,,,,6,,,38,,,,,,,,,,,,,,,,,,322
256567,"San Francisco County, San Francisco, CA, USA","California, USA","United States","37.7593921, -122.510734",land,,2023-01-02,"RGA NYD2023",34,,34,450,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256568,"Mendocino County, CA, USA","California, USA","United States","39.4198, -123.8017",land,,2023-01-01,"Noyo Center for Marine Science",2,,2,1.5,0,,,,,1,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,3,,,,,,,,,,,,,14
256596,"Mendocino County, CA, USA","California, USA","United States","39.3325257, -123.8061091",land,,2023-01-02,"Noyo Center",1,,1,0.882,0,,,4,,,2,6,,,,2,,,1,,2,2,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,26
256598,"Ventura County, CA, USA","California, USA","United States","34.1975048, -119.1770516",land,,2023-01-02,,1,,1,22.5,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256600,"Alameda County, CA, USA","California, USA","United States","37.567780601316, -122.02418490721",land,,2023-01-02,,2,,2,9.5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256603,"San Mateo County, CA, USA","California, USA","United States","37.648441421765, -122.48717294118",land,,2023-01-03,"Pacific Beach Coalition - Terri Brown",1,,1,0.022,0,,,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368
256608,"Los Angeles County, CA, USA","California, USA","United States","34.109111259973, -117.76203978044",land,,2023-01-03,"Molly Loves Trash",1,,1,0.14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
256612,"Alameda County, CA, USA","California, USA","United States","37.565445915082, -122.03104106634",land,,2023-01-04,,1,,1,6,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256815,"Alameda County, CA, USA","California, USA","United States","37.732572083537, -122.15767516187",land,,2023-01-04,inafamaolek.us,3,,3,5,0,,2,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,40
256829,"Santa Barbara County, CA, USA","California, USA","United States","34.40359460421, -119.74328632398",land,,2023-01-05,"Explore Ecology-McKinley-Alcaraz",28,,28,1.5,0.25,,,2,,,1,,1,1,3,,2,,,,2,,,,,,,,,,1,1,1,,,,,,,,2,,,,,,,,,15,,,,,,,,,,,,,,,,,,32
256842,"Santa Barbara County, CA, USA","California, USA","United States","34.403651368382, -119.74354653287",land,,2023-01-05,"Explore Ecology - McKinley - Grande",24,,24,0.25,0.1,,,,,2,,1,,,4,,,,,1,,1,2,2,,,,,,,,,,,,,,,3,,2,,,,,,,,,16,,,,,,,,,,,,,,,,,,34
256843,"San Mateo County, CA, USA","California, USA","United States","37.592683906004, -122.47868557404",land,,2023-01-05,"pacifica beach coalition",1,,1,5.048,0,,,1,1,1,1,2,,1,12,1,,,,1,2,2,,,,,,1,,,,,,,2,,,,1,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,36
256848,"Los Angeles County, CA, USA","California, USA","United States","33.978687697122, -118.4668177833",land,,2023-01-05,,1,,1,4.068,0.25453235569291,,2,2,2,14,14,4,5,4,7,2,2,,2,2,3,2,2,3,,,,,,4,3,,,,3,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,106
256864,"Los Angeles County, CA, USA","California, USA","United States","34.016729705747, -118.11620769472",land,,2023-01-06,"Pacific Beach Coalition",1,,1,13,2.2,,,8,2,4,8,9,11,6,,5,7,12,7,,20,14,12,18,,,,2,,,1,,9,,4,,,,2,3,,8,9,,,,4,,,55,,,,,,,,,,,,,,,,,,240
256867,"Los Angeles County, CA, USA","California, USA","United States","33.979271203311, -118.46710729424",land,,2023-01-06,,1,,1,21.267,8.5396290894155,,11,5,10,33,39,8,16,8,48,6,6,8,13,3,10,8,14,6,,,,,,2,1,,,1,5,,,1,2,6,16,1,,,,,18,,,59,,,,,,,,,,,,,,,,,,364
