Cleanup ID,Zone,State,Country,GPS,Cleanup Type,Cleanup Date,Group Name,Adults,Children,People,Pounds,Miles,# of bags,Cigarette butts,"Food wrappers (candy, chips, etc.)",Food containers (plastic),Food containers (foam),Bottle caps (plastic),Bottle caps (metal),Lids (plastic),Straws/stirrers (plastic),Utensils (plastic),Beverage bottles (plastic),Beverage bottles (glass),Beverage cans,Grocery bags (plastic),Other bags (plastic),Paper bags,"Cups, Plates (paper)","Cups, Plates (plastic)","Cups, Plates (foam)","Fishing buoys, pots & traps",Fishing net & pieces,"Lines, nets, traps, ropes, etc.",Fishing line (1 yard/meter = 1 piece),Fishing gear (Clean Swell),6-Pack holders,Other plastic/foam packaging,Foam dock pieces,"Other plastic bottles (oil, bleach, etc.)",Strapping bands,Other packaging (Clean Swell),Beverage sachets/pouches,"Appliances (refrigerators, washers, etc.)",Balloons,Cigar tips,Cigarette lighters,Tobacco packaging/wrap,"Tobacco products (lighters, cigar tips, wrap)",Foam packaging,Construction materials,Fireworks,Tires,Toys,Other trash (Clean Swell),Clothing,"Electronic waste (phones, batteries)",Condoms,Diapers,Syringes,Footwear (shoes/slippers),Tampons & applicators,Personal hygiene (Clean Swell),Gloves & masks (PPE),Foam pieces,Glass pieces,Plastic pieces,Plastic/foam pieces,Other plastic waste,Cotton bud sticks (swabs),Total Items Collected
252020,"Orange County, CA, USA","California, USA",United States,"33.82787, -118.03882",beach,11/16/2022,Pacific Beach Coalition,2,0,2,13.87,0.2983,0,31,11,2,1,3,1,3,2,3,5,2,6,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,190
251811,"Orange County, CA, USA","California, USA",United States,"33.82803, -118.03884",beach,11/10/2022,Pacific Beach Coalition,2,0,2,13.21,0.0,0,21,12,3,1,3,4,4,2,2,5,1,7,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,23,0,0,186
250850,"Orange County, CA, USA","California, USA",United States,"33.83091, -118.0364",beach,11/3/2022,Pacific Beach Coalition,2,0,2,13.41,0.7993,0,32,11,4,1,2,1,2,4,1,3,0,9,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,199
252349,"Orange County, CA, USA","California, USA",United States,"33.83095, -118.03639",beach,11/20/2022,Pacific Beach Coalition,2,0,2,14.45,0.0061,0,25,13,2,2,1,1,3,2,2,6,1,9,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,1,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,19,0,0,199
251183,"Orange County, CA, USA","California, USA",United States,"33.83097, -118.03626",beach,11/6/2022,Pacific Beach Coalition,2,0,2,13.26,0.0317,0,22,9,2,2,1,2,2,3,1,4,1,8,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17,0,0,174
252470,"Orange County, CA, USA","California, USA",United States,"33.83097, -118.03626",beach,11/22/2022,Pacific Beach Coalition,2,0,2,11.28,0.7471,0,31,6,1,1,3,2,2,2,2,5,0,7,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,170
251100,"Orange County, CA, USA","California, USA",United States,"33.83097, -118.03673",beach,11/5/2022,Pacific Beach Coalition,2,0,2,13.11,0.0719,0,31,14,4,2,2,3,3,3,1,5,0,6,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,1,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,0,0,203
251813,"Orange County, CA, USA","California, USA",United States,"33.83099, -118.0363",beach,11/13/2022,Pacific Beach Coalition,2,0,2,11.75,0.0105,0,26,12,3,1,1,2,4,2,3,5,1,7,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,168
250716,"Orange County, CA, USA","California, USA",United States,"33.84675, -118.04614",beach,11/1/2022,Pacific Beach Coalition,2,0,2,12.94,1.2481,0,27,11,4,1,3,2,4,2,2,3,1,9,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,18,0,0,192
252449,"San Mateo County, CA, USA","California, USA",United States,"37.250247561133, -122.3529365002",beach,11/22/2022,NCL- Coastside 2028,2,0,2,1.389,0.006307,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10
252852,"San Mateo County, CA, USA","California, USA",United States,"37.250248429895, -122.35293177473",beach,11/29/2022,NCL- Coastside 2028,2,0,2,0.039,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9
251502,"San Mateo County, CA, USA","California, USA",United States,"37.260495281162, -122.41316820737",beach,11/11/2022,Equinix UX,15,0,15,14.67,0.225585,0,12,0,0,0,5,2,0,0,0,3,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,3,0,63
251265,"San Mateo County, CA, USA","California, USA",United States,"37.45732855946, -122.24135657546",beach,11/8/2022,CBJ Vav,20,0,20,2.034,0.0,0,3,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32
252703,"San Mateo County, CA, USA","California, USA",United States,"37.482842299698, -122.45271166429",beach,11/26/2022,,3,0,3,14.744,0.529758,0,19,16,2,0,5,4,1,3,2,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,80,7,0,179
252704,"San Mateo County, CA, USA","California, USA",United States,"37.482900873306, -122.45215339829",beach,11/26/2022,,3,0,3,0.33,0.0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,33
